id	equip_req	ex_name	ex_type	muscle
0	Machine - Strength	Ab Crunch Machine	Strength	Abs
1	Body Only	Ab Draw Leg Slide	Strength	Abs
2	Body Only	Abdominal Pendulum	Strength	Abs
3	Body Only	Air Bike	Strength	Abs
4	Body Only	Alternate Heel Touchers	Strength	Abs
5	Body Only	Alternate Leg Bridge	Strength	Abs
6	Bench	Alternate Leg Reverse Hyper on Flat Bench	Strength	Abs
7	Body Only	Alternate Reach and Catch	Strength	Abs
8	Body Only	Alternating Arm Cobra	Strength	Abs
9	Bench, Bands	Band Weighted Sit Up	Strength	Abs
10	Barbell	Barbell Ab Rollout	Strength	Abs
11	Barbell	Barbell Ab Rollout on Knees	Strength	Abs
12	Barbell, Bench	Barbell Press Sit Up	Strength	Abs
13	Barbell, Bench	Barbell Seated Twist	Strength	Abs
14	Barbell	Barbell Side Bend	Strength	Abs
15	Bench	Bench  Twisting Crunch	Strength	Abs
16	Body Only	Bent Knee Hip Raise	Strength	Abs
17	Body Only	Bent Knee Hundreds	Strength	Abs
18	Body Only	Bent Knee Side Angle Pose	Stretching	Abs
19	Body Only	Boat Pose	Stretching	Abs
20	Body Only	Bow Pose	Stretching	Abs
21	Body Only	Butt-Ups	Strength	Abs
22	Body Only	C-Curve	Strength	Abs
23	Machine - Strength	Cable Crunch	Strength	Abs
24	Machine - Strength	Cable Judo Flip	Strength	Abs
25	Machine - Strength	Cable Kneeling Crunch with Alternating Oblique Twists	Strength	Abs
26	Machine - Strength	Cable Kneeling Pulldown	Strength	Abs
27	Machine - Strength	Cable One Arm High-Pulley Side Bends	Strength	Abs
28	Bench, Machine - Strength	Cable One Leg Lying Knee Raise	Strength	Abs
29	Machine - Strength	Cable Pallof Press with Rotation	Strength	Abs
30	Machine - Strength, Bench	Cable Reverse Crunch	Strength	Abs
31	Machine - Strength	Cable Reverse Wood Chops	Strength	Abs
32	Machine - Strength	Cable Rope Crunch	Strength	Abs
33	Machine - Strength, Exercise Ball	Cable Rotation on Exercise Ball	Strength	Abs
34	Machine - Strength, Exercise Ball	Cable Russian Twists	Strength	Abs
35	Machine - Strength, Bench	Cable Seated Crunch	Strength	Abs
36	Machine - Strength	Cable Side Bends	Strength	Abs
37	Machine - Strength	Cable Standing Crunch	Strength	Abs
38	Machine - Strength	Cable Standing Lift	Strength	Abs
39	Machine - Strength	Cable Standing Oblique Crunch	Strength	Abs
40	Machine - Strength, Exercise Ball	Cable Twist on Exercise Ball	Strength	Abs
41	Machine - Strength	Cable Twisting Crunch	Strength	Abs
42	Machine - Strength	Cable Wood Chops	Strength	Abs
43	Body Only	Camel Pose	Stretching	Abs
44	Body Only	Child's Pose	Stretching	Abs
45	Exercise Ball	Child's Pose on Exercise Ball	Stretching	Abs
46	Body Only	Cobra	Strength	Abs
47	Body Only	Crane Pose	Stretching	Abs
48	Body Only	Crescent Moon Pose	Stretching	Abs
49	Body Only	Cross Body Crunch	Strength	Abs
50	Body Only	Cross Legged Erector Spinae	Stretching	Abs
51	Body Only	Cross Legged Lying Side Stretch	Stretching	Abs
52	Body Only	Cross Legged Twist	Stretching	Abs
53	Body Only	Cross-Legged Forward Fold	Stretching	Abs
54	Body Only	Crunch with Hands Overhead	Strength	Abs
55	Body Only	Crunches	Strength	Abs
56	Bench	Crunches with Legs on a Bench	Strength	Abs
57	Exercise Ball	Crunches with Legs on an Exercise Ball	Strength	Abs
58	Bench	Decline Ab Reach	Strength	Abs
59	Bench	Decline Bench Alternate Knee Raise	Strength	Abs
60	Bench	Decline Bench Alternate Leg Raise	Strength	Abs
61	Bench, Machine - Strength	Decline Bench Cable Crunch	Strength	Abs
62	Bench, Machine - Strength	Decline Bench Cable Knee Raise	Strength	Abs
63	Bench	Decline Bench Knee Raise	Strength	Abs
64	Bench	Decline Bench Leg Raise	Strength	Abs
65	Bench	Decline Bench Leg Raise with Hip Thrust	Strength	Abs
66	Bench	Decline Bench Twisting Sit Up	Strength	Abs
67	Bench, Weight Plate	Decline Bench Weighted Twist	Strength	Abs
68	Machine - Strength	Decline Crunch	Strength	Abs
69	Bench	Decline Oblique Crunch	Strength	Abs
70	Bench	Decline Reverse Crunch	Strength	Abs
71	Body Only	Double Leg Hundreds	Strength	Abs
72	Body Only	Double Leg Stretch	Stretching	Abs
73	Body Only	Downward Facing Dog	Stretching	Abs
74	Body Only	Downward Facing Dog-Single Leg	Stretching	Abs
75	Body Only	Downward Facing Puppy Dog	Stretching	Abs
76	Bench	Dragon Flag	Strength	Abs
77	Dumbbell, Exercise Ball	Dumbbell Alternating Cobra Prone Exercise Ball	Strength	Abs
78	Dumbbell, Exercise Ball	Dumbbell Cobra Prone on Exercise Ball	Strength	Abs
79	Bench, Dumbbell	Dumbbell Seated Side Bend	Strength	Abs
